code_insee,annee,indicateur,valeur
59039,2023,dotations_par_habitant,23.44
59039,2024,dotations_par_habitant,26.43
59041,2020,dotations,521123.0
59041,2021,dotations,514918.0
59041,2022,dotations,515806.0
59041,2023,dotations,525126.0
59041,2024,dotations,524354.0
59041,2020,dotations_par_habitant,221.66
59041,2021,dotations_par_habitant,221.47
59041,2022,dotations_par_habitant,222.91
59041,2023,dotations_par_habitant,228.51
59041,2024,dotations_par_habitant,229.98
59042,2020,dotations,421318.0
59042,2021,dotations,441804.0
59042,2022,dotations,455678.0
59042,2023,dotations,484311.0
59042,2024,dotations,511620.0
59042,2020,dotations_par_habitant,243.82
59042,2021,dotations_par_habitant,248.34
59042,2022,dotations_par_habitant,249.69
59042,2023,dotations_par_habitant,258.71
59042,2024,dotations_par_habitant,266.47
59043,2020,dotations,5398688.0
59043,2021,dotations,5493152.0
59043,2022,dotations,5563090.0
59043,2023,dotations,5548999.0
59043,2024,dotations,5582859.0
59043,2020,dotations_par_habitant,356.42
59043,2021,dotations_par_habitant,356.74
59043,2022,dotations_par_habitant,358.19
59043,2023,dotations_par_habitant,360.84
59043,2024,dotations_par_habitant,366.69
59044,2020,dotations,589522.0
59044,2021,dotations,590959.0
59044,2022,dotations,593437.0
59044,2023,dotations,958545.0
59044,2024,dotations,1048779.0
59044,2020,dotations_par_habitant,122.28
59044,2021,dotations_par_habitant,122.07
59044,2022,dotations_par_habitant,122.76
59044,2023,dotations_par_habitant,189.74
59044,2024,dotations_par_habitant,200.45
59045,2020,dotations,45456.0
59045,2021,dotations,48417.0
59045,2022,dotations,50329.0
59045,2023,dotations,57667.0
59045,2024,dotations,58792.0
59045,2020,dotations_par_habitant,253.94
59045,2021,dotations_par_habitant,267.5
59045,2022,dotations_par_habitant,279.61
59045,2023,dotations_par_habitant,322.16
59045,2024,dotations_par_habitant,332.16
59046,2020,dotations,139000.0
59046,2021,dotations,145738.0
59046,2022,dotations,147943.0
59046,2023,dotations,152269.0
59046,2024,dotations,157426.0
59046,2020,dotations_par_habitant,177.3
59046,2021,dotations_par_habitant,177.51
59046,2022,dotations_par_habitant,178.89
59046,2023,dotations_par_habitant,183.9
59046,2024,dotations_par_habitant,187.19
59047,2020,dotations,18986.0
59047,2021,dotations,18464.0
59047,2022,dotations,17295.0
59047,2023,dotations,19905.0
59047,2024,dotations,21528.0
59047,2020,dotations_par_habitant,54.09
59047,2021,dotations_par_habitant,52.16
59047,2022,dotations_par_habitant,48.45
59047,2023,dotations_par_habitant,55.6
59047,2024,dotations_par_habitant,59.97
59048,2020,dotations,90207.0
59048,2021,dotations,93086.0
59048,2022,dotations,95992.0
59048,2023,dotations,96464.0
59048,2024,dotations,96374.0
59048,2020,dotations_par_habitant,172.81
59048,2021,dotations_par_habitant,174.97
59048,2022,dotations_par_habitant,179.42
59048,2023,dotations_par_habitant,183.74
59048,2024,dotations_par_habitant,187.13
59049,2020,dotations,42578.0
59049,2021,dotations,47093.0
59049,2022,dotations,47698.0
59049,2023,dotations,51961.0
59049,2024,dotations,55236.0
59049,2020,dotations_par_habitant,96.33
59049,2021,dotations_par_habitant,106.3
59049,2022,dotations_par_habitant,106.47
59049,2023,dotations_par_habitant,115.21
59049,2024,dotations_par_habitant,122.47
59050,2020,dotations,25778.0
59050,2021,dotations,24950.0
59050,2022,dotations,24114.0
59050,2023,dotations,29379.0
59050,2024,dotations,32126.0
59050,2020,dotations_par_habitant,72.21
59050,2021,dotations_par_habitant,70.68
59050,2022,dotations_par_habitant,68.51
59050,2023,dotations_par_habitant,83.94
59050,2024,dotations_par_habitant,92.58
59051,2020,dotations,1504036.0
59051,2021,dotations,1575571.0
59051,2022,dotations,1608960.0
59051,2023,dotations,1644153.0
59051,2024,dotations,1712789.0
59051,2020,dotations_par_habitant,232.36
59051,2021,dotations_par_habitant,238.22
59051,2022,dotations_par_habitant,244.56
59051,2023,dotations_par_habitant,248.29
59051,2024,dotations_par_habitant,256.14
59052,2020,dotations,1907985.0
59052,2021,dotations,1927785.0
59052,2022,dotations,1723360.0
59052,2023,dotations,1700146.0
59052,2024,dotations,1689886.0
59052,2020,dotations_par_habitant,364.89
59052,2021,dotations_par_habitant,372.09
59052,2022,dotations_par_habitant,335.48
59052,2023,dotations_par_habitant,333.69
59052,2024,dotations_par_habitant,334.7
59053,2020,dotations,1012197.0
59053,2021,dotations,1029454.0
59053,2022,dotations,1034400.0
59053,2023,dotations,1074969.0
59053,2024,dotations,1124571.0
59053,2020,dotations_par_habitant,297.01
59053,2021,dotations_par_habitant,305.29
59053,2022,dotations_par_habitant,310.35
59053,2023,dotations_par_habitant,324.08
59053,2024,dotations_par_habitant,339.24
59054,2020,dotations,141013.0
59054,2021,dotations,143457.0
59054,2022,dotations,149677.0
59054,2023,dotations,245634.0
59054,2024,dotations,260533.0
59054,2020,dotations_par_habitant,142.87
59054,2021,dotations_par_habitant,143.89
59054,2022,dotations_par_habitant,148.05
59054,2023,dotations_par_habitant,233.05
59054,2024,dotations_par_habitant,246.02
59055,2020,dotations,143386.0
59055,2021,dotations,146502.0
59055,2022,dotations,140736.0
59055,2023,dotations,146692.0
59055,2024,dotations,155984.0
59055,2020,dotations_par_habitant,267.01
59055,2021,dotations_par_habitant,276.42
59055,2022,dotations_par_habitant,268.58
59055,2023,dotations_par_habitant,272.66
59055,2024,dotations_par_habitant,285.16
59056,2020,dotations,131222.0
59056,2021,dotations,129103.0
59056,2022,dotations,127966.0
59056,2023,dotations,129695.0
59056,2024,dotations,127794.0
59056,2020,dotations_par_habitant,148.95
59056,2021,dotations_par_habitant,147.38
59056,2022,dotations_par_habitant,146.08
59056,2023,dotations_par_habitant,149.25
59056,2024,dotations_par_habitant,147.06
59057,2020,dotations,134963.0
59057,2021,dotations,138559.0
59057,2022,dotations,143087.0
59057,2023,dotations,146155.0
59057,2024,dotations,154453.0
59057,2020,dotations_par_habitant,231.5
59057,2021,dotations_par_habitant,239.31
59057,2022,dotations_par_habitant,246.7
59057,2023,dotations_par_habitant,255.07
59057,2024,dotations_par_habitant,267.22
59058,2020,dotations,140530.0
59058,2021,dotations,142427.0
59058,2022,dotations,143396.0
59058,2023,dotations,148198.0
59058,2024,dotations,152175.0
59058,2020,dotations_par_habitant,138.18
59058,2021,dotations_par_habitant,138.28
59058,2022,dotations_par_habitant,139.08
59058,2023,dotations_par_habitant,143.88
59058,2024,dotations_par_habitant,146.32
59059,2020,dotations,120406.0
59059,2021,dotations,120924.0
59059,2022,dotations,122326.0
59059,2023,dotations,128442.0
59059,2024,dotations,136112.0
59059,2020,dotations_par_habitant,266.98
59059,2021,dotations_par_habitant,268.72
59059,2022,dotations_par_habitant,274.27
59059,2023,dotations_par_habitant,282.29
59059,2024,dotations_par_habitant,293.98
59060,2020,dotations,59852.0
59060,2021,dotations,61420.0
59060,2022,dotations,63907.0
59060,2023,dotations,64429.0
59060,2024,dotations,65510.0
59060,2020,dotations_par_habitant,255.78
59060,2021,dotations_par_habitant,262.48
59060,2022,dotations_par_habitant,269.65
59060,2023,dotations_par_habitant,271.85
59060,2024,dotations_par_habitant,272.96
59061,2020,dotations,70551.0
59061,2021,dotations,78264.0
59061,2022,dotations,82797.0
59061,2023,dotations,89318.0
59061,2024,dotations,95986.0
59061,2020,dotations_par_habitant,262.27
59061,2021,dotations_par_habitant,284.6
59061,2022,dotations_par_habitant,297.83
59061,2023,dotations_par_habitant,318.99
59061,2024,dotations_par_habitant,334.45
59062,2020,dotations,39113.0
59062,2021,dotations,62240.0
59062,2022,dotations,63448.0
59062,2023,dotations,68502.0
59062,2024,dotations,71363.0
59062,2020,dotations_par_habitant,231.44
59062,2021,dotations_par_habitant,355.66
59062,2022,dotations_par_habitant,364.64
59062,2023,dotations_par_habitant,393.69
59062,2024,dotations_par_habitant,405.47
59063,2020,dotations,506472.0
59063,2021,dotations,508994.0
59063,2022,dotations,501662.0
59063,2023,dotations,502610.0
59063,2024,dotations,502026.0
59063,2020,dotations_par_habitant,239.35
59063,2021,dotations_par_habitant,244.94
59063,2022,dotations_par_habitant,246.4
59063,2023,dotations_par_habitant,251.3
59063,2024,dotations_par_habitant,252.53
59064,2020,dotations,207184.0
59064,2021,dotations,204814.0
59064,2022,dotations,201162.0
59064,2023,dotations,206587.0
59064,2024,dotations,215735.0
59064,2020,dotations_par_habitant,165.35
59064,2021,dotations_par_habitant,161.78
59064,2022,dotations_par_habitant,157.77
59064,2023,dotations_par_habitant,161.78
59064,2024,dotations_par_habitant,160.64
59065,2020,dotations,220151.0
59065,2021,dotations,224367.0
59065,2022,dotations,228407.0
59065,2023,dotations,235746.0
59065,2024,dotations,243616.0
59065,2020,dotations_par_habitant,260.53
59065,2021,dotations_par_habitant,267.74
59065,2022,dotations_par_habitant,274.53
59065,2023,dotations_par_habitant,281.99
59065,2024,dotations_par_habitant,292.11
59066,2020,dotations,27554.0
59066,2021,dotations,29187.0
59066,2022,dotations,30810.0
59066,2023,dotations,52266.0
59066,2024,dotations,44858.0
59066,2020,dotations_par_habitant,182.48
59066,2021,dotations_par_habitant,184.73
59066,2022,dotations_par_habitant,187.87
59066,2023,dotations_par_habitant,309.27
59066,2024,dotations_par_habitant,263.87
59067,2020,dotations,1437893.0
59067,2021,dotations,1474225.0
59067,2022,dotations,1494153.0
59067,2023,dotations,1515750.0
59067,2024,dotations,1448087.0
59067,2020,dotations_par_habitant,386.43
59067,2021,dotations_par_habitant,397.9
59067,2022,dotations_par_habitant,407.46
59067,2023,dotations_par_habitant,415.73
59067,2024,dotations_par_habitant,399.58
59068,2020,dotations,389769.0
59068,2021,dotations,419528.0
59068,2022,dotations,458370.0
59068,2023,dotations,496955.0
59068,2024,dotations,525066.0
59068,2020,dotations_par_habitant,122.76
59068,2021,dotations_par_habitant,131.1
59068,2022,dotations_par_habitant,142.31
59068,2023,dotations_par_habitant,154.33
59068,2024,dotations_par_habitant,162.76
59069,2020,dotations,186310.0
59069,2021,dotations,199656.0
59069,2022,dotations,207927.0
59069,2023,dotations,212102.0
59069,2024,dotations,224004.0
59069,2020,dotations_par_habitant,253.83
59069,2021,dotations_par_habitant,269.08
59069,2022,dotations_par_habitant,277.98
59069,2023,dotations_par_habitant,282.43
59069,2024,dotations_par_habitant,289.04
59070,2020,dotations,96566.0
59070,2021,dotations,99080.0
59070,2022,dotations,102662.0
59070,2023,dotations,108926.0
59070,2024,dotations,112208.0
59070,2020,dotations_par_habitant,252.79
59070,2021,dotations_par_habitant,260.05
59070,2022,dotations_par_habitant,270.16
59070,2023,dotations_par_habitant,283.66
59070,2024,dotations_par_habitant,290.69
59071,2020,dotations,418749.0
59071,2021,dotations,423343.0
59071,2022,dotations,361466.0
59071,2023,dotations,442894.0
59071,2024,dotations,476420.0
59071,2020,dotations_par_habitant,183.34
59071,2021,dotations_par_habitant,184.22
59071,2022,dotations_par_habitant,156.21
59071,2023,dotations_par_habitant,190.74
59071,2024,dotations_par_habitant,202.82
59072,2020,dotations,25565.0
59072,2021,dotations,24724.0
59072,2022,dotations,24144.0
59072,2023,dotations,25604.0
59072,2024,dotations,25650.0
59072,2020,dotations_par_habitant,98.33
59072,2021,dotations_par_habitant,94.37
59072,2022,dotations_par_habitant,91.45
59072,2023,dotations_par_habitant,96.98
59072,2024,dotations_par_habitant,100.98
59073,2020,dotations,38887.0
59073,2021,dotations,38353.0
59073,2022,dotations,36988.0
59073,2023,dotations,42763.0
59073,2024,dotations,48805.0
59073,2020,dotations_par_habitant,66.82
59073,2021,dotations_par_habitant,65.79
59073,2022,dotations_par_habitant,63.01
59073,2023,dotations_par_habitant,70.68
59073,2024,dotations_par_habitant,78.21
59074,2020,dotations,524290.0
59074,2021,dotations,534124.0
59074,2022,dotations,539001.0
59074,2023,dotations,547306.0
59074,2024,dotations,569907.0
59074,2020,dotations_par_habitant,234.9
59074,2021,dotations_par_habitant,239.73
59074,2022,dotations_par_habitant,242.57
59074,2023,dotations_par_habitant,249.0
59074,2024,dotations_par_habitant,259.64
59075,2020,dotations,132047.0
59075,2021,dotations,139857.0
59075,2022,dotations,111925.0
59075,2023,dotations,97829.0
59075,2024,dotations,92265.0
59075,2020,dotations_par_habitant,173.52
59075,2021,dotations_par_habitant,183.3
59075,2022,dotations_par_habitant,145.93
59075,2023,dotations_par_habitant,131.85
59075,2024,dotations_par_habitant,127.61
59076,2020,dotations,13095.0
59076,2021,dotations,12785.0
59076,2022,dotations,11739.0
59076,2023,dotations,13369.0
59076,2024,dotations,14410.0
59076,2020,dotations_par_habitant,41.57
59076,2021,dotations_par_habitant,40.59
59076,2022,dotations_par_habitant,37.27
59076,2023,dotations_par_habitant,42.58
59076,2024,dotations_par_habitant,45.89
59077,2020,dotations,33162.0
59077,2021,dotations,32727.0
59077,2022,dotations,31411.0
59077,2023,dotations,36682.0
59077,2024,dotations,37973.0
59077,2020,dotations_par_habitant,128.53
59077,2021,dotations_par_habitant,124.44
59077,2022,dotations_par_habitant,118.98
59077,2023,dotations_par_habitant,137.9
59077,2024,dotations_par_habitant,143.29
59078,2020,dotations,175193.0
59078,2021,dotations,180269.0
59078,2022,dotations,191208.0
59078,2023,dotations,196533.0
59078,2024,dotations,199494.0
59078,2020,dotations_par_habitant,268.29
59078,2021,dotations_par_habitant,278.19
59078,2022,dotations_par_habitant,293.26
59078,2023,dotations_par_habitant,305.18
59078,2024,dotations_par_habitant,314.66
59079,2020,dotations,9049112.0
59079,2021,dotations,9243958.0
59079,2022,dotations,9433527.0
59079,2023,dotations,9591585.0
59079,2024,dotations,9859674.0
59079,2020,dotations_par_habitant,1335.27
59079,2021,dotations_par_habitant,1347.91
59079,2022,dotations_par_habitant,1377.96
59079,2023,dotations_par_habitant,1403.1
59079,2024,dotations_par_habitant,1445.49
59080,2020,dotations,432822.0
59080,2021,dotations,434772.0
59080,2022,dotations,438511.0
59080,2023,dotations,474647.0
59080,2024,dotations,491740.0
59080,2020,dotations_par_habitant,155.02
59080,2021,dotations_par_habitant,155.39
59080,2022,dotations_par_habitant,154.79
59080,2023,dotations_par_habitant,165.84
59080,2024,dotations_par_habitant,170.68
59081,2020,dotations,148684.0
59081,2021,dotations,151334.0
59081,2022,dotations,147134.0
59081,2023,dotations,149523.0
59081,2024,dotations,146054.0
59081,2020,dotations_par_habitant,262.23
59081,2021,dotations_par_habitant,264.57
59081,2022,dotations_par_habitant,254.56
59081,2023,dotations_par_habitant,261.86
59081,2024,dotations_par_habitant,259.88
59082,2020,dotations,181011.0
59082,2021,dotations,172909.0
59082,2022,dotations,160579.0
59082,2023,dotations,167575.0
59082,2024,dotations,164997.0
59082,2020,dotations_par_habitant,96.75
59082,2021,dotations_par_habitant,93.11
59082,2022,dotations_par_habitant,87.32
59082,2023,dotations_par_habitant,91.17
59082,2024,dotations_par_habitant,91.36
