code_insee,nom_commune,departement,strate_perso,taux_tfpb,evol_2021_2024,rank_tfpb_dep_strate,ecart_tfpb_2024_vs_dep_strate_mean
62285,Écoust-Saint-Mein,62,< 500 hab,34.75,0.0,0.4365256124721604,-0.8032293986636958
62286,Ecquedecques,62,500-1999 hab,45.03,0.0,0.9055944055944056,6.891118881118885
62288,Ecques,62,2000-3499 hab,46.35,4.0,0.5918367346938775,1.5412244897959155
62289,Écuires,62,500-1999 hab,34.03,0.0,0.1835664335664335,-4.108881118881115
62290,Écurie,62,< 500 hab,35.26,0.0,0.4844097995545657,-0.2932293986636978
62291,Éleu-dit-Leauwette,62,2000-3499 hab,60.21,0.0,1.0,15.401224489795917
62292,Elnes,62,500-1999 hab,35.17,0.0,0.2587412587412587,-2.9688811188811144
62293,Embry,62,< 500 hab,36.1,0.0,0.5979955456570156,0.5467706013363056
62295,Enquin-lez-Guinegatte,62,500-1999 hab,44.27,0.07,0.8916083916083916,6.131118881118887
62296,Enquin-sur-Baillons,62,< 500 hab,37.45,0.0,0.732739420935412,1.896770601336307
62297,Éperlecques,62,3500-4999 hab,38.95,0.0,0.2666666666666666,-5.5676666666666605
62298,Épinoy,62,500-1999 hab,32.82,0.0,0.1398601398601398,-5.318881118881116
62299,Eps,62,< 500 hab,35.81,0.7,0.5523385300668151,0.2567706013363064
62300,Équihen-Plage,62,2000-3499 hab,54.34,1.07,0.8775510204081632,9.531224489795918
62301,Équirre,62,< 500 hab,36.8,0.0,0.6748329621380846,1.2467706013363014
62302,Ergny,62,< 500 hab,32.24,0.0,0.1670378619153674,-3.313229398663694
62303,Érin,62,< 500 hab,32.36,0.0,0.1815144766146993,-3.1932293986636964
62304,Erny-Saint-Julien,62,< 500 hab,37.26,0.0,0.7104677060133631,1.7067706013363022
62306,Ervillers,62,< 500 hab,33.86,0.0,0.3385300668151447,-1.6932293986636964
62307,Escalles,62,< 500 hab,35.96,0.0,0.5712694877505567,0.406770601336305
62308,Escœuilles,62,< 500 hab,36.58,0.0,0.6514476614699332,1.0267706013363025
62309,Esquerdes,62,500-1999 hab,44.86,0.0,0.8951048951048951,6.721118881118883
62310,Essars,62,500-1999 hab,39.65,1.17,0.6643356643356644,1.5111188811188825
62311,Estevelles,62,2000-3499 hab,55.85,0.0,0.9183673469387756,11.041224489795916
62312,Estrée,62,< 500 hab,35.56,0.0,0.5211581291759465,0.0067706013363064
62313,Estrée-Blanche,62,500-1999 hab,41.14,0.81,0.7377622377622378,3.0011188811188845
62314,Estrée-Cauchy,62,< 500 hab,43.36,0.0,0.9621380846325168,7.806770601336304
62315,Estréelles,62,< 500 hab,39.81,0.0,0.8797327394209354,4.2567706013363065
62316,Estrée-Wamin,62,< 500 hab,34.4,0.0,0.3997772828507795,-1.1532293986636972
