code_insee,nom_commune,departement,departement_code,search_key
59160,Crespin,Nord,59,crespin
59161,Crèvecœur-sur-l'Escaut,Nord,59,crevecur sur l escaut
59162,Crochte,Nord,59,crochte
59163,Croix,Nord,59,croix
59164,Croix-Caluyau,Nord,59,croix caluyau
59165,Cuincy,Nord,59,cuincy
59166,Curgies,Nord,59,curgies
59167,Cuvillers,Nord,59,cuvillers
59168,Cysoing,Nord,59,cysoing
59169,Damousies,Nord,59,damousies
59170,Dechy,Nord,59,dechy
59171,Dehéries,Nord,59,deheries
59172,Denain,Nord,59,denain
59173,Deûlémont,Nord,59,deulemont
59174,Dimechaux,Nord,59,dimechaux
59175,Dimont,Nord,59,dimont
59176,Doignies,Nord,59,doignies
59177,Dompierre-sur-Helpe,Nord,59,dompierre sur helpe
59178,Douai,Nord,59,douai
59179,Douchy-les-Mines,Nord,59,douchy les mines
59180,Le Doulieu,Nord,59,le doulieu
59181,Dourlers,Nord,59,dourlers
59182,Drincham,Nord,59,drincham
59183,Dunkerque,Nord,59,dunkerque
59184,Ebblinghem,Nord,59,ebblinghem
59185,Écaillon,Nord,59,ecaillon
59186,Eccles,Nord,59,eccles
59187,Éclaibes,Nord,59,eclaibes
59188,Écuélin,Nord,59,ecuelin
59189,Eecke,Nord,59,eecke
59190,Élesmes,Nord,59,elesmes
59191,Élincourt,Nord,59,elincourt
59192,Émerchicourt,Nord,59,emerchicourt
59193,Emmerin,Nord,59,emmerin
59194,Englefontaine,Nord,59,englefontaine
59195,Englos,Nord,59,englos
59196,Ennetières-en-Weppes,Nord,59,ennetieres en weppes
59197,Ennevelin,Nord,59,ennevelin
59198,Eppe-Sauvage,Nord,59,eppe sauvage
59199,Erchin,Nord,59,erchin
59200,Eringhem,Nord,59,eringhem
59201,Erquinghem-le-Sec,Nord,59,erquinghem le sec
59202,Erquinghem-Lys,Nord,59,erquinghem lys
59203,Erre,Nord,59,erre
59204,Escarmain,Nord,59,escarmain
59205,Escaudain,Nord,59,escaudain
59206,Escaudœuvres,Nord,59,escauduvres
59207,Escautpont,Nord,59,escautpont
59208,Escobecques,Nord,59,escobecques
59209,Esnes,Nord,59,esnes
59210,Esquelbecq,Nord,59,esquelbecq
59211,Esquerchin,Nord,59,esquerchin
59212,Estaires,Nord,59,estaires
59213,Estourmel,Nord,59,estourmel
59214,Estrées,Nord,59,estrees
59215,Estreux,Nord,59,estreux
59216,Eswars,Nord,59,eswars
59217,Eth,Nord,59,eth
59218,Étrœungt,Nord,59,etrungt
59219,Estrun,Nord,59,estrun
59220,Faches-Thumesnil,Nord,59,faches thumesnil
59221,Famars,Nord,59,famars
59222,Faumont,Nord,59,faumont
59223,Le Favril,Nord,59,le favril
59224,Féchain,Nord,59,fechain
59225,Feignies,Nord,59,feignies
59226,Felleries,Nord,59,felleries
59227,Fenain,Nord,59,fenain
59228,Férin,Nord,59,ferin
59229,Féron,Nord,59,feron
59230,Ferrière-la-Grande,Nord,59,ferriere la grande
59231,Ferrière-la-Petite,Nord,59,ferriere la petite
59232,La Flamengrie,Nord,59,la flamengrie
59233,Flaumont-Waudrechies,Nord,59,flaumont waudrechies
59234,Flers-en-Escrebieux,Nord,59,flers en escrebieux
59236,Flesquières,Nord,59,flesquieres
59237,Flêtre,Nord,59,fletre
59238,Flines-lès-Mortagne,Nord,59,flines les mortagne
59239,Flines-lez-Raches,Nord,59,flines lez raches
59240,Floursies,Nord,59,floursies
59241,Floyon,Nord,59,floyon
59242,Fontaine-au-Bois,Nord,59,fontaine au bois
59243,Fontaine-au-Pire,Nord,59,fontaine au pire
59244,Fontaine-Notre-Dame,Nord,59,fontaine notre dame
59246,Forest-en-Cambrésis,Nord,59,forest en cambresis
59247,Forest-sur-Marque,Nord,59,forest sur marque
59249,Fourmies,Nord,59,fourmies
59250,Fournes-en-Weppes,Nord,59,fournes en weppes
59251,Frasnoy,Nord,59,frasnoy
59252,Frelinghien,Nord,59,frelinghien
59253,Fresnes-sur-Escaut,Nord,59,fresnes sur escaut
59254,Fressain,Nord,59,fressain
59255,Fressies,Nord,59,fressies
59256,Fretin,Nord,59,fretin
59257,Fromelles,Nord,59,fromelles
59258,Genech,Nord,59,genech
59259,Ghissignies,Nord,59,ghissignies
59260,Ghyvelde,Nord,59,ghyvelde
59261,Glageon,Nord,59,glageon
59262,Godewaersvelde,Nord,59,godewaersvelde
59263,Gœulzin,Nord,59,gulzin
59264,Gognies-Chaussée,Nord,59,gognies chaussee
59265,Gommegnies,Nord,59,gommegnies
59266,Gondecourt,Nord,59,gondecourt
59267,Gonnelieu,Nord,59,gonnelieu
59268,La Gorgue,Nord,59,la gorgue
59269,Gouzeaucourt,Nord,59,gouzeaucourt
59270,Grand-Fayt,Nord,59,grand fayt
59271,Grande-Synthe,Nord,59,grande synthe
59272,Grand-Fort-Philippe,Nord,59,grand fort philippe
59273,Gravelines,Nord,59,gravelines
59274,La Groise,Nord,59,la groise
59275,Gruson,Nord,59,gruson
59276,Guesnain,Nord,59,guesnain
59277,Gussignies,Nord,59,gussignies
59278,Hallennes-lez-Haubourdin,Nord,59,hallennes lez haubourdin
59279,Halluin,Nord,59,halluin
59280,Hamel,Nord,59,hamel
59281,Hantay,Nord,59,hantay
59282,Hardifort,Nord,59,hardifort
59283,Hargnies,Nord,59,hargnies
59284,Hasnon,Nord,59,hasnon
59285,Haspres,Nord,59,haspres
59286,Haubourdin,Nord,59,haubourdin
59287,Haucourt-en-Cambrésis,Nord,59,haucourt en cambresis
59288,Haulchin,Nord,59,haulchin
59289,Haussy,Nord,59,haussy
59290,Haut-Lieu,Nord,59,haut lieu
59291,Hautmont,Nord,59,hautmont
59292,Haveluy,Nord,59,haveluy
59293,Haverskerque,Nord,59,haverskerque
59294,Haynecourt,Nord,59,haynecourt
59295,Hazebrouck,Nord,59,hazebrouck
59296,Hecq,Nord,59,hecq
59297,Hélesmes,Nord,59,helesmes
59299,Hem,Nord,59,hem
59300,Hem-Lenglet,Nord,59,hem lenglet
59301,Hergnies,Nord,59,hergnies
59302,Hérin,Nord,59,herin
59303,Herlies,Nord,59,herlies
59304,Herrin,Nord,59,herrin
59305,Herzeele,Nord,59,herzeele
59306,Hestrud,Nord,59,hestrud
59307,Holque,Nord,59,holque
59308,Hondeghem,Nord,59,hondeghem
59309,Hondschoote,Nord,59,hondschoote
59310,Hon-Hergies,Nord,59,hon hergies
59311,Honnechy,Nord,59,honnechy
59312,Honnecourt-sur-Escaut,Nord,59,honnecourt sur escaut
59313,Hordain,Nord,59,hordain
59314,Hornaing,Nord,59,hornaing
59315,Houdain-lez-Bavay,Nord,59,houdain lez bavay
59316,Houplin-Ancoisne,Nord,59,houplin ancoisne
59317,Houplines,Nord,59,houplines
59318,Houtkerque,Nord,59,houtkerque
59319,Hoymille,Nord,59,hoymille
59320,Illies,Nord,59,illies
59321,Inchy,Nord,59,inchy
59322,Iwuy,Nord,59,iwuy
59323,Jenlain,Nord,59,jenlain
59324,Jeumont,Nord,59,jeumont
59325,Jolimetz,Nord,59,jolimetz
59326,Killem,Nord,59,killem
59327,Lallaing,Nord,59,lallaing
59328,Lambersart,Nord,59,lambersart
59329,Lambres-lez-Douai,Nord,59,lambres lez douai
59330,Landas,Nord,59,landas
59331,Landrecies,Nord,59,landrecies
59332,Lannoy,Nord,59,lannoy
59333,Larouillies,Nord,59,larouillies
59334,Lauwin-Planque,Nord,59,lauwin planque
59335,Lecelles,Nord,59,lecelles
59336,Lécluse,Nord,59,lecluse
59337,Lederzeele,Nord,59,lederzeele
59338,Ledringhem,Nord,59,ledringhem
59339,Leers,Nord,59,leers
59340,Leffrinckoucke,Nord,59,leffrinckoucke
59341,Lesdain,Nord,59,lesdain
59342,Lez-Fontaine,Nord,59,lez fontaine
59343,Lesquin,Nord,59,lesquin
59344,Leval,Nord,59,leval
59345,Lewarde,Nord,59,lewarde
59346,Lezennes,Nord,59,lezennes
59347,Liessies,Nord,59,liessies
59348,Lieu-Saint-Amand,Nord,59,lieu saint amand
59349,Ligny-en-Cambrésis,Nord,59,ligny en cambresis
59350,Lille,Nord,59,lille
59351,Limont-Fontaine,Nord,59,limont fontaine
59352,Linselles,Nord,59,linselles
59353,Locquignol,Nord,59,locquignol
59354,Loffre,Nord,59,loffre
59356,Lompret,Nord,59,lompret
59357,La Longueville,Nord,59,la longueville
59358,Looberghe,Nord,59,looberghe
59359,Loon-Plage,Nord,59,loon plage
59360,Loos,Nord,59,loos
59361,Lourches,Nord,59,lourches
59363,Louvignies-Quesnoy,Nord,59,louvignies quesnoy
59364,Louvil,Nord,59,louvil
59365,Louvroil,Nord,59,louvroil
59366,Lynde,Nord,59,lynde
59367,Lys-lez-Lannoy,Nord,59,lys lez lannoy
59368,La Madeleine,Nord,59,la madeleine
59369,Maing,Nord,59,maing
59370,Mairieux,Nord,59,mairieux
59371,Le Maisnil,Nord,59,le maisnil
59372,Malincourt,Nord,59,malincourt
59374,Marbaix,Nord,59,marbaix
59375,Marchiennes,Nord,59,marchiennes
59377,Marcoing,Nord,59,marcoing
59378,Marcq-en-Barœul,Nord,59,marcq en barul
59379,Marcq-en-Ostrevent,Nord,59,marcq en ostrevent
59381,Maresches,Nord,59,maresches
59382,Maretz,Nord,59,maretz
59383,Marly,Nord,59,marly
59384,Maroilles,Nord,59,maroilles
59385,Marpent,Nord,59,marpent
59386,Marquette-lez-Lille,Nord,59,marquette lez lille
59387,Marquette-en-Ostrevant,Nord,59,marquette en ostrevant
59388,Marquillies,Nord,59,marquillies
59389,Masnières,Nord,59,masnieres
59390,Masny,Nord,59,masny
59391,Mastaing,Nord,59,mastaing
59392,Maubeuge,Nord,59,maubeuge
59393,Maulde,Nord,59,maulde
59394,Maurois,Nord,59,maurois
59395,Mazinghien,Nord,59,mazinghien
59396,Mecquignies,Nord,59,mecquignies
59397,Merckeghem,Nord,59,merckeghem
59398,Mérignies,Nord,59,merignies
59399,Merris,Nord,59,merris
59400,Merville,Nord,59,merville
59401,Méteren,Nord,59,meteren
59402,Millam,Nord,59,millam
59403,Millonfosse,Nord,59,millonfosse
59405,Mœuvres,Nord,59,muvres
59406,Monceau-Saint-Waast,Nord,59,monceau saint waast
59407,Monchaux-sur-Écaillon,Nord,59,monchaux sur ecaillon
59408,Moncheaux,Nord,59,moncheaux
59409,Monchecourt,Nord,59,monchecourt
59410,Mons-en-Barœul,Nord,59,mons en barul
59411,Mons-en-Pévèle,Nord,59,mons en pevele
59412,Montay,Nord,59,montay
59413,Montigny-en-Cambrésis,Nord,59,montigny en cambresis
59414,Montigny-en-Ostrevent,Nord,59,montigny en ostrevent
59415,Montrécourt,Nord,59,montrecourt
59416,Morbecque,Nord,59,morbecque
59418,Mortagne-du-Nord,Nord,59,mortagne du nord
59419,Mouchin,Nord,59,mouchin
59420,Moustier-en-Fagne,Nord,59,moustier en fagne
59421,Mouvaux,Nord,59,mouvaux
59422,Naves,Nord,59,naves
59423,Neuf-Berquin,Nord,59,neuf berquin
59424,Neuf-Mesnil,Nord,59,neuf mesnil
59425,Neuville-en-Avesnois,Nord,59,neuville en avesnois
59426,Neuville-en-Ferrain,Nord,59,neuville en ferrain
59427,La Neuville,Nord,59,la neuville
59428,Neuville-Saint-Rémy,Nord,59,neuville saint remy
59429,Neuville-sur-Escaut,Nord,59,neuville sur escaut
59430,Neuvilly,Nord,59,neuvilly
59431,Nieppe,Nord,59,nieppe
59432,Niergnies,Nord,59,niergnies
59433,Nieurlet,Nord,59,nieurlet
59434,Nivelle,Nord,59,nivelle
59435,Nomain,Nord,59,nomain
59436,Noordpeene,Nord,59,noordpeene
59437,Noyelles-lès-Seclin,Nord,59,noyelles les seclin
59438,Noyelles-sur-Escaut,Nord,59,noyelles sur escaut
59439,Noyelles-sur-Sambre,Nord,59,noyelles sur sambre
59440,Noyelles-sur-Selle,Nord,59,noyelles sur selle
59441,Obies,Nord,59,obies
59442,Obrechies,Nord,59,obrechies
59443,Ochtezeele,Nord,59,ochtezeele
59444,Odomez,Nord,59,odomez
59445,Ohain,Nord,59,ohain
59446,Oisy,Nord,59,oisy
59447,Onnaing,Nord,59,onnaing
59448,Oost-Cappel,Nord,59,oost cappel
59449,Orchies,Nord,59,orchies
59450,Ors,Nord,59,ors
59451,Orsinval,Nord,59,orsinval
59452,Ostricourt,Nord,59,ostricourt
59453,Oudezeele,Nord,59,oudezeele
59454,Oxelaëre,Nord,59,oxelaere
59455,Paillencourt,Nord,59,paillencourt
59456,Pecquencourt,Nord,59,pecquencourt
59457,Pérenchies,Nord,59,perenchies
59458,Péronne-en-Mélantois,Nord,59,peronne en melantois
59459,Petite-Forêt,Nord,59,petite foret
59461,Petit-Fayt,Nord,59,petit fayt
59462,Phalempin,Nord,59,phalempin
59463,Pitgam,Nord,59,pitgam
59464,Poix-du-Nord,Nord,59,poix du nord
59465,Pommereuil,Nord,59,pommereuil
59466,Pont-à-Marcq,Nord,59,pont a marcq
59467,Pont-sur-Sambre,Nord,59,pont sur sambre
59468,Potelle,Nord,59,potelle
59469,Pradelles,Nord,59,pradelles
59470,Prémesques,Nord,59,premesques
59471,Préseau,Nord,59,preseau
59472,Preux-au-Bois,Nord,59,preux au bois
59473,Preux-au-Sart,Nord,59,preux au sart
59474,Prisches,Nord,59,prisches
59475,Prouvy,Nord,59,prouvy
59476,Proville,Nord,59,proville
59477,Provin,Nord,59,provin
59478,Quaëdypre,Nord,59,quaedypre
59479,Quarouble,Nord,59,quarouble
59480,Quérénaing,Nord,59,querenaing
59481,Le Quesnoy,Nord,59,le quesnoy
59482,Quesnoy-sur-Deûle,Nord,59,quesnoy sur deule
59483,Quiévelon,Nord,59,quievelon
59484,Quiévrechain,Nord,59,quievrechain
59485,Quiévy,Nord,59,quievy
59486,Râches,Nord,59,raches
59487,Radinghem-en-Weppes,Nord,59,radinghem en weppes
59488,Raillencourt-Sainte-Olle,Nord,59,raillencourt sainte olle
59489,Raimbeaucourt,Nord,59,raimbeaucourt
59490,Rainsars,Nord,59,rainsars
59491,Raismes,Nord,59,raismes
59492,Ramillies,Nord,59,ramillies
59493,Ramousies,Nord,59,ramousies
59494,Raucourt-au-Bois,Nord,59,raucourt au bois
59495,Recquignies,Nord,59,recquignies
59496,Rejet-de-Beaulieu,Nord,59,rejet de beaulieu
59497,Renescure,Nord,59,renescure
59498,Reumont,Nord,59,reumont
59499,Rexpoëde,Nord,59,rexpoede
59500,Ribécourt-la-Tour,Nord,59,ribecourt la tour
59501,Rieulay,Nord,59,rieulay
59502,Rieux-en-Cambrésis,Nord,59,rieux en cambresis
59503,Robersart,Nord,59,robersart
59504,Rœulx,Nord,59,rulx
59505,Rombies-et-Marchipont,Nord,59,rombies et marchipont
59506,Romeries,Nord,59,romeries
59507,Ronchin,Nord,59,ronchin
59508,Roncq,Nord,59,roncq
59509,Roost-Warendin,Nord,59,roost warendin
59511,Rosult,Nord,59,rosult
59512,Roubaix,Nord,59,roubaix
59513,Roucourt,Nord,59,roucourt
59514,Rousies,Nord,59,rousies
59515,Rouvignies,Nord,59,rouvignies
59516,Rubrouck,Nord,59,rubrouck
59517,Les Rues-des-Vignes,Nord,59,les rues des vignes
59518,Ruesnes,Nord,59,ruesnes
59519,Rumegies,Nord,59,rumegies
59520,Rumilly-en-Cambrésis,Nord,59,rumilly en cambresis
59521,Sailly-lez-Cambrai,Nord,59,sailly lez cambrai
59522,Sailly-lez-Lannoy,Nord,59,sailly lez lannoy
59523,Sainghin-en-Mélantois,Nord,59,sainghin en melantois
59524,Sainghin-en-Weppes,Nord,59,sainghin en weppes
59525,Sains-du-Nord,Nord,59,sains du nord
59526,Saint-Amand-les-Eaux,Nord,59,saint amand les eaux
59527,Saint-André-lez-Lille,Nord,59,saint andre lez lille
59528,Saint-Aubert,Nord,59,saint aubert
59529,Saint-Aubin,Nord,59,saint aubin
59530,Saint-Aybert,Nord,59,saint aybert
59531,Saint-Benin,Nord,59,saint benin
59532,Saint-Georges-sur-l'Aa,Nord,59,saint georges sur l aa
59533,Saint-Hilaire-lez-Cambrai,Nord,59,saint hilaire lez cambrai
59534,Saint-Hilaire-sur-Helpe,Nord,59,saint hilaire sur helpe
59535,Saint-Jans-Cappel,Nord,59,saint jans cappel
59536,Sainte-Marie-Cappel,Nord,59,sainte marie cappel
59537,Saint-Martin-sur-Écaillon,Nord,59,saint martin sur ecaillon
59538,Saint-Momelin,Nord,59,saint momelin
59539,Saint-Pierre-Brouck,Nord,59,saint pierre brouck
59541,Saint-Python,Nord,59,saint python
59542,Saint-Remy-Chaussée,Nord,59,saint remy chaussee
59543,Saint-Remy-du-Nord,Nord,59,saint remy du nord
59544,Saint-Saulve,Nord,59,saint saulve
59545,Saint-Souplet,Nord,59,saint souplet
59546,Saint-Sylvestre-Cappel,Nord,59,saint sylvestre cappel
59547,Saint-Vaast-en-Cambrésis,Nord,59,saint vaast en cambresis
59548,Saint-Waast,Nord,59,saint waast
59549,Salesches,Nord,59,salesches
59550,Salomé,Nord,59,salome
59551,Saméon,Nord,59,sameon
59552,Sancourt,Nord,59,sancourt
59553,Santes,Nord,59,santes
59554,Sars-et-Rosières,Nord,59,sars et rosieres
59555,Sars-Poteries,Nord,59,sars poteries
59556,Sassegnies,Nord,59,sassegnies
59557,Saultain,Nord,59,saultain
59558,Saulzoir,Nord,59,saulzoir
59559,Sebourg,Nord,59,sebourg
59560,Seclin,Nord,59,seclin
59562,Sémeries,Nord,59,semeries
59563,Semousies,Nord,59,semousies
59564,La Sentinelle,Nord,59,la sentinelle
59565,Sepmeries,Nord,59,sepmeries
59566,Sequedin,Nord,59,sequedin
59567,Séranvillers-Forenville,Nord,59,seranvillers forenville
59568,Sercus,Nord,59,sercus
59569,Sin-le-Noble,Nord,59,sin le noble
59570,Socx,Nord,59,socx
59571,Solesmes,Nord,59,solesmes
59572,Solre-le-Château,Nord,59,solre le chateau
59573,Solrinnes,Nord,59,solrinnes
59574,Somain,Nord,59,somain
59575,Sommaing,Nord,59,sommaing
59576,Spycker,Nord,59,spycker
59577,Staple,Nord,59,staple
59578,Steenbecque,Nord,59,steenbecque
59579,Steene,Nord,59,steene
59580,Steenvoorde,Nord,59,steenvoorde
59581,Steenwerck,Nord,59,steenwerck
59582,Strazeele,Nord,59,strazeele
59583,Taisnières-en-Thiérache,Nord,59,taisnieres en thierache
59584,Taisnières-sur-Hon,Nord,59,taisnieres sur hon
59585,Templemars,Nord,59,templemars
59586,Templeuve-en-Pévèle,Nord,59,templeuve en pevele
59587,Terdeghem,Nord,59,terdeghem
59588,Téteghem-Coudekerque-Village,Nord,59,teteghem coudekerque village
59589,Thiant,Nord,59,thiant
59590,Thiennes,Nord,59,thiennes
59591,Thivencelle,Nord,59,thivencelle
59592,Thumeries,Nord,59,thumeries
59593,Thun-l'Évêque,Nord,59,thun l eveque
59594,Thun-Saint-Amand,Nord,59,thun saint amand
59595,Thun-Saint-Martin,Nord,59,thun saint martin
59596,Tilloy-lez-Marchiennes,Nord,59,tilloy lez marchiennes
59597,Tilloy-lez-Cambrai,Nord,59,tilloy lez cambrai
59598,Toufflers,Nord,59,toufflers
59599,Tourcoing,Nord,59,tourcoing
59600,Tourmignies,Nord,59,tourmignies
59601,Trélon,Nord,59,trelon
59602,Tressin,Nord,59,tressin
59603,Trith-Saint-Léger,Nord,59,trith saint leger
59604,Troisvilles,Nord,59,troisvilles
59605,Uxem,Nord,59,uxem
59606,Valenciennes,Nord,59,valenciennes
59607,Vendegies-au-Bois,Nord,59,vendegies au bois
59608,Vendegies-sur-Écaillon,Nord,59,vendegies sur ecaillon
59609,Vendeville,Nord,59,vendeville
59610,Verchain-Maugré,Nord,59,verchain maugre
59611,Verlinghem,Nord,59,verlinghem
59612,Vertain,Nord,59,vertain
59613,Vicq,Nord,59,vicq
59614,Viesly,Nord,59,viesly
59615,Vieux-Berquin,Nord,59,vieux berquin
59616,Vieux-Condé,Nord,59,vieux conde
59617,Vieux-Mesnil,Nord,59,vieux mesnil
59618,Vieux-Reng,Nord,59,vieux reng
59619,Villereau,Nord,59,villereau
59620,Villers-au-Tertre,Nord,59,villers au tertre
59622,Villers-en-Cauchies,Nord,59,villers en cauchies
59623,Villers-Guislain,Nord,59,villers guislain
59624,Villers-Outréaux,Nord,59,villers outreaux
59625,Villers-Plouich,Nord,59,villers plouich
59626,Villers-Pol,Nord,59,villers pol
59627,Villers-Sire-Nicole,Nord,59,villers sire nicole
59628,Volckerinckhove,Nord,59,volckerinckhove
59629,Vred,Nord,59,vred
59630,Wahagnies,Nord,59,wahagnies
59631,Walincourt-Selvigny,Nord,59,walincourt selvigny
59632,Wallers,Nord,59,wallers
59633,Wallers-en-Fagne,Nord,59,wallers en fagne
59634,Wallon-Cappel,Nord,59,wallon cappel
59635,Wambaix,Nord,59,wambaix
59636,Wambrechies,Nord,59,wambrechies
59637,Wandignies-Hamage,Nord,59,wandignies hamage
